UniqueID,Course,Title,Edition,Year,Author,ISBN,Alternate ISBNs,MMS ID,Call number,Barcode,Current Status,New/Returning/Past Semester,UMCP copy?,Notes,Comment,Branch Location
TopTextFall24.45,SOCY 200,Ishmael: A Novel,,1995,"Quinn, Daniel",9780553375404,,990063476620108238,SOCY200/Ishmael,31430060875921,On Shelf,,N,,,CPMCK
TopTextFall24.46,SOCY 230,Social Psychology,9th,2019,"Delamater, John / Collett, Jessica",9780813350684,,990063476620108238,SOCY230/Social Psychology (3),31430060875863,On Shelf,,N,,,CPMCK
TopTextFall24.47,SPHL 610,Health Program Planning and Evaluation: A Practical Systematic Approach to Community Health,5th,2021,"Issel, L. Michele; Wells, Rebecca; Williams, Mollie",9781284210057,,990063476620108238,SPHL610/Health Program Planning and Evaluation,31430060493170,On Shelf,,N,,,CPMCK
TopTextFall24.48,STAT 410,Introduction to Probability,1st,2017,"Anderson, David; Seppalainen, Timo; Valko, Benedek",9781108415859,,990063476620108238,STAT410/Intro to Probability,31430060875871,On Shelf,,N,,,CPMCK
TopTextFall24.49,STAT 410,Introduction to Probability,1st,2017,"Anderson, David; Seppalainen, Timo; Valko, Benedek",9781108415859,,990063476620108238,STAT410/Intro to Probability (copy 2) STEM,,Needs to be bought,,N,,,CPMCK
TopTextFall24.50,ANSC 101,Scientific Farm Animal Production: An Introduction to Animal Science,11,2016,Field & Taylor,9780133767209,,990063476620108238,ANSC101/Scientific Farm Animal,31430058255854,On Shelf,,N,,,CPMCK
TopTextFall24.51,ANTH 222,Ecological and Evolutionary Anthropology (Custom),15th,2017,"Haviland, Walrath, Prins, & McBride",9781337444668,,990063476620108238,ANTH222/Eco & Evo Anthropology,31430058259047,On Shelf,,N,,,CPMCK
TopTextFall24.52,ANTH 240,World Prehistory and Archaeology: Pathways Through Time,4,2018,Michael Chazan,9781138089464,"9781138632554, 9781315208183",990063476620108238,ANTH240/World Prehistory & Archaeology,31430058255896,On Shelf,,N,,,CPMCK
TopTextFall24.53,ANTH 240,In Small Things Forgotten: An Archaeology of Early American Life,,1996,"Deetz, James",,,990063476620108238,ANTH240/In Small Things Forgotten,31430059988701,On Shelf,,Y,,,CPMCK
TopTextFall24.54,AOSC 200,Essentials of Meteorology (Custom),7th,2015,C. Donald Ahrens,9781305314498,9781305317390,990063476620108238,AOSC200/Essentials of Meteorology,"31430058253990, 31430051076448",On Shelf,,N,,,CPMCK
TopTextFall24.55,AOSC 200,Weather: A Concise Introduction,,2018,Hakim & Patoux,9781108404655,9781108417167,990063476620108238,AOSC200/Weather,31430058255888,On Shelf,,N,,,CPMCK
TopTextFall24.56,ARCH 464,Architect's Studio Companion,6th,2017,Edward Allen,9781119092414,,990063476620108238,ARCH464/Architect's Studio Companion,31430060956655,On Shelf,,N,,,CPMCK
TopTextFall24.57,ARCH 464,Statics and Strengths of Materials for Architecture and Building Construction,4th,2012,Barry S. Onouye,9780135079256,,990063476620108238,ARCH464/Statics and Strengths,31430060226414,Held,,Y,,,CPMCK
TopTextFall24.58,AREC 365,World Food Problem,5th,2016,Leathers & Foster,9781626374515,,990063476620108238,AREC365/World Food Problem 5th,"31430058253925, 31430058254998",On Shelf,,N,,,CPMCK
TopTextFall24.59,ARTH 200,"Janson's History of Art, Vol. I",8th,2016,"Davies, Denny, Hofrichter, Jacobs, Simon, Roberts",9780133910117,9780134081748,990063476620108238,ARTH200/Janson's History of Art Vol. 1,"31430059063760, 31430058884919",On Shelf,,Y/N,,,CPMCK
TopTextFall24.60,ARTH 201,"Janson's History of Art, Vol. II",8th,2016,"Davies, Denny, Hofrichter, Jacobs, Roberts, Simon",9780133936629,,990063476620108238,ARTH200/Janson's History of Art v.2,31430060959105,On Shelf,,N,,,CPMCK
TopTextFall24.61,ARTH 265,"When I Sing, Mountains Dance",,2019,Irene Sola,9781644450802,,990063476620108238,ARTH265/When I Sing,31430058260151,On Shelf,,N,,,CPMCK
TopTextFall24.62,ASTR 101,Cosmic Perspective Fundamentals,2nd,2016,Jeffrey O. Bennett,9780133889567,,990063476620108238,ASTR100/Cosmic Perspective Fundamentals,"31430058253370, 31430058256316",On Shelf,,N,,,CPMCK
TopTextFall24.63,ASTR 101,Essential Cosmic Perspective,8th,2018,"Bennet, Donahue, Schneider, & Voit",9780134446431,,990063476620108238,ASTR101/Essential Cosmic Perspective,31430058256431,On Shelf,,N,,,CPMCK
TopTextFall24.64,BCHM 461,Lehninger Principles of Biochemistry,7th,2017,Nelson & Cox,9781464126116,,990063476620108238,BCHM461/Principles of Biochemistry 7th,31430058258643,On Shelf,,N,,,CPMCK
TopTextFall24.65,BCHM 463,Biochemistry: Concepts and Connections,10th,2016,"Dean R. Appling, Spencer J. Anthony-Cahill, Christopher K. Mathews",9780321839923,,990063476620108238,BCHM463/Biochemistry,"31430058252737, 31430058253719, 31430043444373",On Shelf,,N,,,CPMCK
TopTextFall24.66,BCHM 463,Biochemistry,4th,2013,"Mathews, van Holde, Appling, & Anthony-Cahill",9780138004644,,990063476620108238,BCHM463/Biochemistry (2),31430058256191,On Shelf,,N,,,CPMCK
TopTextFall24.67,BIOE 120,Essential Cell Biology,4th,2014,"Alberts, Bray, Hopkin, Johnson, Lewis, Raff, Roberts, Walter",9780815344544,,990063476620108238,BIOE120/Essential Cell Biology,31430058254378,On Shelf,,N,,,CPMCK
TopTextFall24.68,BMGT 110,Understanding Business (10th ed),10th,,"Nickels, McHugh, & McHugh",9780073524597,,990063476620108238,BMGT110/Understanding Business,31430055791117,On Shelf,,N,,,CPMCK
TopTextFall24.69,BMGT 110,Understanding Business,11th,2016,"Nickels, McHugh, & McHugh",9780078023163,,990063476620108238,BMGT110F/Understanding Business 11th,"31430058253388, 31430058254311, 31430058254964",On Shelf,,N,,,CPMCK
TopTextFall24.70,BMGT 110F,Understanding Business,12th,2019,"Nickels, McHugh, & McHugh",9781260211108,"9781259929434, 9781260277142",990063476620108238,BMGT110F/Understanding Business 12th,31430058258189,On Shelf,,N,,,CPMCK
TopTextFall24.71,BMGT 220,Corporate Financial Accounting,12th,2013,"Carl S. Warren, James M. Reeve, & Jonathan E. Duchac",9781285912127,9781285904733,990063476620108238,BMGT220/Corporate,31430058256704,On Shelf,,N,,,CPMCK
TopTextFall24.72,BMGT 220,Corporate Financial Accounting,14th,2017,"Warren, Fess, & Reeve",9781337130714,,990063476620108238,BMGT220/Corporate 14th,31430058254733,On Shelf,,N,,,CPMCK
TopTextFall24.73,BMGT 221,Managerial Acct,,2014,McGraw Hill,9781308162805,,990063476620108238,BMGT221/Managerial Acct,"31430058256712, 31430058254808",On Shelf,,N,,,CPMCK
TopTextFall24.74,BMGT 230,Business Statistics: A First Course,3rd,2017,"Sharpe, De Veaux, Velleman",9781323485392,,990063476620108238,BMGT230/Business Statistics 3rd,"31430058253214, 31430058253578",On Shelf,,N,,,CPMCK
TopTextFall24.75,BMGT 301,Information Systems: A Manager's Guide to Harnessing Technology V3.0,V3.0*,2014,John Gallaugher,9781453366561,,990063476620108238,BMGT301/Information Systems,31430058252950,On Shelf,,N,,,CPMCK
TopTextFall24.76,BMGT 301,Information Systems: A Manager's Guide to Harnessing Technology V5.0,V5.0,2017,John Gallaugher,9781453375747,,990063476620108238,BMGT301/Information Systems V5.0,31430058255433,On Shelf,,N,,,CPMCK
TopTextFall24.77,BMGT 310,Intermediate Accounting,11th,2023,"David Spiceland, Mark Nelson, Wayne Thomas, Jennifer Winchel",9781265237394,,990063476620108238,BMGT310/Intermediate Accounting (2),31430060959113,On Shelf,,N,,,CPMCK
TopTextFall24.78,BMGT 311,Intermediate Accounting,16th,2016,"Kieso, Weygandt, & Warfield",9781118742976,9781119170785,990063476620108238,BMGT311/Intermediate Accounting,31430058254006,On Shelf,,N,,,CPMCK
TopTextFall24.79,BMGT 313,Equity Valuation and Analysis,5th,2019,"Russell Lunholm, Richard Sloan",9781079983357,,990063476620108238,BMGT313/Equity Valuation and Analysis,31430060956671,On Shelf,,N,,,CPMCK
TopTextFall24.80,BMGT 321,Horngren's Cost Accounting: A Managerial Emphasis,16th,2018,Datar & Rajan,9780134476032,"9780134642444, 9780134642468",990063476620108238,BMGT321/Horngren's Cost Accounting,31430058255102,On Shelf,,N,,,CPMCK
TopTextFall24.81,BMGT 323,Taxation of Individuals (UMD Custom),8th,2017,"Spilker, Ayers, Outslay, Weaver, Barrick, Robinson, & Worsham",9781308832227,9781259729027,990063476620108238,BMGT323/Taxation of Individuals,31430051074955,On Shelf,,N,,,CPMCK
TopTextFall24.82,BMGT 323,Taxation of Individuals  (McGraw-Hill's),2018 ed.,2018,"Spilker, Ayers, Outslay, Weaver, Barrick, Robinson, & Worsham",9781260008890,,990063476620108238,BMGT323/Taxation of Individuals 2018 ed.,31430058255664,On Shelf,,N,,,CPMCK
TopTextFall24.83,BMGT 326,Accounting Information Systems,13th,2015,Romney & Steinbart,9780133428537,,990063476620108238,BMGT326/Accounting Info Systems,31430051074948,On Shelf,,N,,,CPMCK
TopTextFall24.84,BMGT 332,Spreadsheet Modeling and Decision Analysis: A Practical Introduction to Business Analytics,8th,2018,Cliff T. Ragsdale,9781337274852,,990063476620108238,BMGT332/Spreadsheet Modeling,31430058256258,On Shelf,,N,,,CPMCK
TopTextFall24.85,BMGT 340,BMGT 340 Business Finance,2017,2017,Hallows,9781323673027,9781323673041,990063476620108238,BMGT340/Business Finance,31430058255078,On Shelf,,N,,,CPMCK
TopTextFall24.86,BMGT 340,Fundamentals of Corporate Finance (UMD Custom),3rd,2015,"Berk, DeMarzo, & Harford",9781269945646,"9781269946544, 9781269932110, 9780133507676, 9781269932110",990063476620108238,BMGT340/Fund. of Corp. Finance,"31430058254048, 31430058254766",On Shelf,,N,,,CPMCK
